,brand,model_name,screen_size,ram,rom,cams,sim_type,battary,sale_percentage,product_rating,seller_name,seller_score,seller_followers,Reviews
0,Tecno,Spark 10 Pro ,6.8,8.0,128.0,50MP + 2MP + 32MP,Dual,5000.0,43%,4.4,Minestar,86%,1002,No reviews
1,Infinix,Hot 30 Play ,6.82,8.0,128.0,16MP + 8MP,Dual,6000.0,22%,4.7,Tech Traders,86%,722,"[ (5 out of 5) GOOD ], [ (5 out of 5) I like it ], [ (5 out of 5) Like it! ], [ (5 out of 5) phone ], [ (5 out of 5) I love it ], [ (5 out of 5) Awesome! ], [ (4 out of 5) The Phone is great. ], [ (5 out of 5) I like it. ], [ (4 out of 5) Nice camera! However, put up 50MP main camera ], [ (4 out of 5) Like it so far! ]"
2,XIAOMI,Redmi A2 ,6.52,3.0,64.0,8MP + 5MP,Dual,5000.0,28%,3.8,Xiaomi Ecco World - AC,80%,36,"[ (5 out of 5) I like it ], [ (4 out of 5) I like it ], [ (4 out of 5) I like it ], [ (4 out of 5) fare perfomance ], [ (1 out of 5) not worthy ], [ (2 out of 5) Slow Charging ], [ (5 out of 5) redmi A2+ ]"
3,Tecno,Spark 10C ,6.6,4.0,128.0,16MP + 8MP,Dual,5000.0,35%,4.8,Minestar,86%,1002,"[ (5 out of 5) It's a good product ], [ (4 out of 5) smart watch  ], [ (5 out of 5) Cool ], [ (5 out of 5) product and service delivery ], [ (5 out of 5) I like it ], [ (5 out of 5) Very nice!! ], [ (5 out of 5) Techno spark 10 ]"
4,Infinix,Smart 7 HD ,6.6,2.0,64.0,8MP + 5MP,Dual,5000.0,27%,4.3,Tech Traders,86%,722,"[ (5 out of 5) I like it ], [ (5 out of 5) Good Product ], [ (5 out of 5) I love it ], [ (4 out of 5) I like it ], [ (4 out of 5) Like it ], [ (4 out of 5) Good ], [ (5 out of 5) I like it ], [ (5 out of 5) Battery  ], [ (5 out of 5) I love it ], [ (5 out of 5) battery health. ]"
5,XIAOMI,Redmi A2 ,6.52,2.0,32.0,8MP + 5MP,Dual,5000.0,20%,4.3,XIAOMI KE,100%,9268,"[ (5 out of 5) I lovei it ], [ (5 out of 5) smartphone ], [ (4 out of 5) She likes it. ], [ (5 out of 5) XIAOMI Redmi A2+ ], [ (5 out of 5) Perfect one ], [ (5 out of 5) I like it ], [ (4 out of 5) redmi A2 + ], [ (5 out of 5) I like it ]"
6,Freeyond,F9 ,6.52,4.0,64.0,3.0MP + 2.0MP + 8.0MP,Dual,5000.0,42%,4.6,FreeYond-COD,86%,443,"[ (5 out of 5) I love the phone ], [ (5 out of 5) i love it ], [ (5 out of 5) well deliverd ], [ (4 out of 5) works well ], [ (4 out of 5) Not bad ], [ (5 out of 5) power ], [ (5 out of 5) good ], [ (5 out of 5) internet ], [ (5 out of 5) i like it ], [ (5 out of 5) true ]"
7,Maxfone,MAX 80 Plus ,6.52,2.0,16.0,5MP + 8MP,Dual,5075.0,0,4.1,Modern Electronics,80%,18,No reviews
8,Infinix,Smart 7 HD ,6.6,2.0,64.0,8MP + 5MP,Dual,5000.0,24%,4.5,Tech Traders,86%,722,"[ (5 out of 5) camera ], [ (3 out of 5) Like it ], [ (5 out of 5) i love it ], [ (4 out of 5) I like it ], [ (4 out of 5) nice ], [ (5 out of 5) Excellent ], [ (5 out of 5) got what i ordered ], [ (4 out of 5) i liked it ], [ (5 out of 5) ???????? ], [ (5 out of 5) CONVINIENCY ]"
9,Freeyond,M5 ,6.52,8.0,128.0,50MP + 8.0MP + 2.0MP,Dual,5000.0,35%,4.1,FreeYond-COD,86%,443,"[ (1 out of 5) product specification ], [ (5 out of 5) I love it ], [ (5 out of 5) Perfect. ], [ (5 out of 5) I like it ], [ (5 out of 5) Love it ], [ (5 out of 5) A good phone with that price ], [ (3 out of 5) Just an okay phone ], [ (2 out of 5) I don't like it ], [ (5 out of 5) Excellent ], [ (1 out of 5) poor network ]"
10,Tecno,Pop 7 ,6.6,2.0,64.0,5MP + 8MP,Dual,5000.0,19%,4.4,Premium Phones-,100%,407,"[ (5 out of 5) I love it ], [ (5 out of 5) I like it ], [ (5 out of 5) I like it ], [ (4 out of 5) Very good ], [ (5 out of 5) A good device ], [ (4 out of 5) rate ], [ (5 out of 5) good phone ], [ (2 out of 5) good ], [ (4 out of 5) great ], [ (5 out of 5) Tecno Pop 7 ]"
11,Tecno,Pop 7 ,6.6,2.0,64.0,5MP + 8MP,Dual,5000.0,11%,4.4,Premium Phones-,100%,407,"[ (4 out of 5) Delivery process excellent ], [ (5 out of 5) i loved  it ], [ (4 out of 5) As described ], [ (4 out of 5) Nice phone ], [ (5 out of 5) Awesome one  ], [ (3 out of 5) Poor camera ], [ (5 out of 5) quality ]"
12,Infinix,Hot 30i ,6.56,4.0,128.0,13MP + 8MP,Dual,5000.0,29%,4.4,Tech Traders,86%,722,"[ (5 out of 5) Infinix hot30i ], [ (1 out of 5) Really poor phone ], [ (5 out of 5) I like it ], [ (5 out of 5) I like it ], [ (5 out of 5) Decent ], [ (5 out of 5) original ], [ (5 out of 5) i liked it ], [ (5 out of 5) Love it ], [ (4 out of 5) I like it ], [ (5 out of 5) BEST BUDGET ]"
13,XIAOMI,Redmi A2 ,6.52,2.0,32.0,8MP + 5MP,Dual,5000.0,23%,4.7,XIAOMI KE,100%,9268,"[ (5 out of 5) Fast, efficient and easier to operate. ], [ (5 out of 5) Loved it ], [ (5 out of 5) performance ], [ (5 out of 5) its the best ], [ (5 out of 5) I like it. ], [ (5 out of 5) Perfect! ], [ (5 out of 5) I like it. ], [ (5 out of 5) I love it ], [ (5 out of 5) I love it ], [ (5 out of 5) love  ]"
14,Tecno,Pop 7 Pro ,6.6,4.0,64.0,13MP + 5MP,Dual,5000.0,17%,4.7,Premium Phones-,100%,407,[ (5 out of 5) Good  ]
15,Huawei,P Smart ,6.21,6.0,128.0,13MP + 2MP + 8MP,Dual,0.0,44%,0.0,3C Market-COD,60%,22,No reviews
16,Tecno,Spark 10C ,6.6,4.0,128.0,16MP + 8MP,Dual,5000.0,18%,4.1,Premium Phones-,100%,407,"[ (5 out of 5) spark 10c ], [ (4 out of 5) product arrived in good condition ], [ (2 out of 5) Camera so poor ], [ (5 out of 5) very nice phone ], [ (5 out of 5) I like it ], [ (4 out of 5) Great ], [ (5 out of 5) PERFOMANCE ], [ (5 out of 5) Efficiency ], [ (5 out of 5) a good good ], [ (5 out of 5) Good specs ]"
17,Infinix,Hot 30i ,6.6,8.0,128.0,13MP + 8MP,Dual,5000.0,13%,4.6,Tech Traders,86%,722,"[ (5 out of 5) I like it 100% ], [ (5 out of 5) good best ], [ (5 out of 5) Good customer service at the pick up session ], [ (5 out of 5) Nice phone ]"
18,Infinix,Hot 30i ,6.6,12.0,128.0,13MP + 8MP,Dual,5000.0,1%,4.5,Kattason enterprise,94%,291,No reviews
19,Freeyond,F9 ,6.52,3.0,128.0,3.0MP + 2.0MP + 8.0MP,Dual,5000.0,48%,3.8,FreeYond-COD,86%,443,"[ (5 out of 5) its legit  ], [ (5 out of 5) Awesome for the money ], [ (2 out of 5) freeyond F9 ], [ (4 out of 5) I like it ], [ (3 out of 5) so far so good ], [ (4 out of 5) the phone is good but charger ni bure kabisa ]"
20,XIAOMI,Redmi 12 ,6.79,8.0,128.0,50MP + 8MP + 2MP + 8MP,Dual,5000.0,17%,5.0,XIAOMI KE,100%,9268,No reviews
21,Infinix,Smart 7 HD ,6.6,2.0,64.0,8MP + 5MP,Dual,5000.0,27%,4.0,Tech Traders,86%,722,No reviews
